"id","linnworks_code","product_name","category","supplier","invoice_currency","landed_price_gbp","sp1_value_gbp","sp2_value_gbp","sp3_value_gbp","sale_price_gbp","landed_price_eur","sp1_value_eur","sp2_value_eur","sp3_value_eur","sale_price_euro","import_dates","error"
"6444","HS-RIO2110GRYBL100","Rio - Frise Rug - Floral - Grey & Blue - 100 x 150 cm (RU1252A)","Rugs/Discontinued","PHARMORE","GBP","0","0","0","0",,"0","0","0","0",,,
"6445","HS-RIO2110GRYBL150","Rio - Frise Rug - Floral - Grey & Blue - 150 x 210 cm (RU1252B)","Rugs/Discontinued","PHARMORE","GBP","0","0","0","0",,"0","0","0","0",,,
"6446","HS-RIO2110GRYGRN100","Rio - Frise Rug - Floral - Grey & Green - 100 x 150 cm (RU1253A)","Rugs/Discontinued","PHARMORE","GBP","0","0","0","0",,"0","0","0","0",,,
"6447","HS-RIO2110GRYGRN150","Rio - Frise Rug - Floral - Grey & Green - 150 x 210 cm (RU1253B)","Rugs/Discontinued","PHARMORE","GBP","0","0","0","0",,"0","0","0","0",,,
"6448","HS-RIO2116BLKRED100","Rio - Frise Rug - Black Red & White - 100 x 150 cm (RU1250A)","Rugs/Discontinued","PHARMORE","GBP","0","0","0","0",,"0","0","0","0",,,
"6449","HS-RIO2116BLKRED150","Rio - Frise Rug - Black Red & White - 150 x 210 cm (RU1250B)","Rugs/Discontinued","PHARMORE","GBP","0","0","0","0",,"0","0","0","0",,,
"6450","HS-RIO378DKBE100","Rio - Frise Rug - Stripe - Dark Beige - 100 x 150 cm (RU1254A)","Rugs/Discontinued","PHARMORE","GBP","0","0","0","0",,"0","0","0","0",,,
"6451","HS-RIO378DKBE150","Rio - Frise Rug - Stripe - Dark Beige - 150 x 210 cm (RU1254B)","Rugs/Discontinued","PHARMORE","GBP","0","0","0","0",,"0","0","0","0",,,
"6452","HS-RIO378GRYGRN100","Rio - Frise Rug - Stripe - Grey & Green - 100 x 150 cm (RU1255A)","Rugs/Discontinued","PHARMORE","GBP","0","0","0","0",,"0","0","0","0",,,
"6453","HS-RIO378GRYGRN150","Rio - Frise Rug - Stripe - Grey & Green - 150 x 210 cm (RU1255B)","Rugs/Discontinued","PHARMORE","GBP","0","0","0","0",,"0","0","0","0",,,
