id,amazon_sku,channel_id,linnworks_code,price_uk,sale_price_uk,price_fr,sale_price_fr,price_de,sale_price_de,price_es,sale_price_es,price_ebay,sale_price_ebay,price_cdiscount,sale_price_cdiscount,prime_date,error
22540,CURSOLIDNAV137,2,CURSOLIDNAV137,,,38.99,25.99,45.99,29.99,,,,,,,NULL,NULL
22541,CURSOLIDNAV182,2,CURSOLIDNAV182,,,51.99,32.99,59.99,39.99,,,,,,,NULL,NULL
22542,CURSOLIDNAV228,2,CURSOLIDNAV228,,,64.99,38.99,75.99,49.99,,,,,,,NULL,NULL
22543,CURSOLIDOFWHT137,2,CURSOLIDOFWHT137,,,38.99,25.99,45.99,29.99,,,,,,,NULL,NULL
22544,CURSOLIDOFWHT182,2,CURSOLIDOFWHT182,,,51.99,32.99,59.99,39.99,,,,,,,NULL,NULL
22545,CURSOLIDOFWHT228,2,CURSOLIDOFWHT228,,,64.99,38.99,75.99,49.99,,,,,,,NULL,NULL
22546,CURSOLIDORG137,2,CURSOLIDORG137,,,38.99,25.99,45.99,29.99,,,,,,,NULL,NULL
22547,CURSOLIDORG182,2,CURSOLIDORG182,,,51.99,32.99,59.99,39.99,,,,,,,NULL,NULL
22548,CURSOLIDORG228,2,CURSOLIDORG228,,,64.99,38.99,75.99,49.99,,,,,,,NULL,NULL
22549,CURSOLIDPNK137,2,CURSOLIDPNK137,,,38.99,25.99,45.99,29.99,,,,,,,NULL,NULL
22550,CURSOLIDPNK182,2,CURSOLIDPNK182,,,51.99,32.99,59.99,39.99,,,,,,,NULL,NULL
22551,CURSOLIDPNK228,2,CURSOLIDPNK228,,,64.99,38.99,75.99,49.99,,,,,,,NULL,NULL
22552,CURSOLIDPUR137,2,CURSOLIDPUR137,,,38.99,25.99,45.99,29.99,,,,,,,NULL,NULL
22553,CURSOLIDPUR182,2,CURSOLIDPUR182,,,51.99,32.99,59.99,39.99,,,,,,,NULL,NULL
22554,CURSOLIDPUR228,2,CURSOLIDPUR228,,,64.99,38.99,75.99,49.99,,,,,,,NULL,NULL
22555,CURSOLIDRED137,2,CURSOLIDRED137,,,38.99,25.99,45.99,29.99,,,,,,,NULL,NULL
22556,CURSOLIDRED182,2,CURSOLIDRED182,,,51.99,32.99,59.99,39.99,,,,,,,NULL,NULL
22557,CURSOLIDRED228,2,CURSOLIDRED228,,,64.99,38.99,75.99,49.99,,,,,,,NULL,NULL
22558,CURSOLIDYEL137,2,CURSOLIDYEL137,,,38.99,25.99,45.99,29.99,,,,,,,NULL,NULL
22559,CURSOLIDYEL182,2,CURSOLIDYEL182,,,51.99,32.99,59.99,39.99,,,,,,,NULL,NULL
22560,CURSOLIDYEL228-FBA-FR,2,CURSOLIDYEL228,,,64.99,38.99,,,,,,,,,NULL,NULL
22561,CURSOLIDYEL228,2,CURSOLIDYEL228,,,64.99,38.99,75.99,49.99,,,,,,,NULL,NULL
22562,CURSTARBEI137,2,CURSTARBEI137,,,38.99,25.99,38.99,25.99,,,,,,,NULL,NULL
22563,CURSTARBEI182,2,CURSTARBEI182,,,51.99,32.99,51.99,32.99,,,,,,,NULL,NULL
22564,CURSTARBEI228,2,CURSTARBEI228,,,64.99,38.99,64.99,38.99,,,,,,,NULL,NULL
22565,CURSTARBLU137,2,CURSTARBLU137,,,38.99,25.99,38.99,25.99,,,,,,,NULL,NULL
22566,CURSTARBLU182,2,CURSTARBLU182,,,51.99,32.99,51.99,32.99,,,,,,,NULL,NULL
22567,CURSTARBLU228,2,CURSTARBLU228,,,64.99,38.99,64.99,38.99,,,,,,,NULL,NULL
22568,CURSTARGRN137,2,CURSTARGRN137,,,38.99,25.99,38.99,25.99,,,,,,,NULL,NULL
22569,CURSTARGRN182,2,CURSTARGRN182,,,51.99,32.99,51.99,32.99,,,,,,,NULL,NULL
22570,CURSTARGRN228,2,CURSTARGRN228,,,64.99,38.99,64.99,38.99,,,,,,,NULL,NULL
22571,CURSTARMULT137,2,CURSTARMULT137,,,38.99,25.99,38.99,25.99,,,,,,,NULL,NULL
22572,CURSTARMULT182,2,CURSTARMULT182,,,51.99,32.99,51.99,32.99,,,,,,,NULL,NULL
22573,CURSTARMULT228,2,CURSTARMULT228,,,64.99,38.99,64.99,38.99,,,,,,,NULL,NULL
22574,CURFEA90200,2,CURFEA90200,,,13.99,6.99,19.99,12.99,,,,,,,NULL,NULL
22575,CURSOLBRO90200,2,CURSOLBRO90200,,,22.75,12.99,19.99,12.99,,,,,,,NULL,NULL
22576,CURSOLBLA90200,2,CURSOLBLA90200,,,22.75,12.99,19.99,12.99,,,,,,,NULL,NULL
22577,CURSOLBLU90200,2,CURSOLBLU90200,,,22.75,12.99,19.99,12.99,,,,,,,NULL,NULL
22578,CURSOLCHO90200,2,CURSOLCHO90200,,,22.75,12.99,13.99,6.99,,,,,,,NULL,NULL
22579,CURSOLNAT90200,2,CURSOLNAT90200,,,22.75,12.99,19.99,12.99,,,,,,,NULL,NULL
22580,CURSOLPNK90200,2,CURSOLPNK90200,,,22.75,12.99,19.99,12.99,,,,,,,NULL,NULL
22581,CURSOLRED90200,2,CURSOLRED90200,,,22.75,12.99,19.99,12.99,,,,,,,NULL,NULL
22582,CURSRKLBLK90200,2,CURSRKLBLK90200,,,22.75,12.99,19.99,12.99,,,,,,,NULL,NULL
22583,CURSRKLGLD90200,2,CURSRKLGLD90200,,,22.75,12.99,19.99,12.99,,,,,,,NULL,NULL
22584,CURSTRPRED137,2,CURSTRPRED137,,,38.99,25.99,38.99,25.99,,,,,,,NULL,NULL
22585,CURSTRPRED182,2,CURSTRPRED182,,,51.99,32.99,51.99,32.99,,,,,,,NULL,NULL
22586,CURSTRPRED228,2,CURSTRPRED228,,,64.99,38.99,64.99,38.99,,,,,,,NULL,NULL
22587,CURSTRPYEL137,2,CURSTRPYEL137,,,38.99,25.99,38.99,25.99,,,,,,,NULL,NULL
22588,CURSTRPYEL182,2,CURSTRPYEL182,,,51.99,32.99,51.99,32.99,,,,,,,NULL,NULL
22589,CURSTRPYEL228,2,CURSTRPYEL228,,,64.99,38.99,64.99,38.99,,,,,,,NULL,NULL
22590,JACCURPPGRY-4554.2,2,JACCURPPGRY-4554,,,99.99,59.99,,,,,,,,,NULL,NULL
22591,JACCURPPGRY-4572.2,2,JACCURPPGRY-4572,,,109.99,74.99,,,,,,,,,NULL,NULL
22592,JACCURPPGRY-4590.2,2,JACCURPPGRY-4590,,,129.99,89.99,,,,,,,,,NULL,NULL
22593,JACCURPPGRY-6554.2,2,JACCURPPGRY-6554,,,129.99,89.99,,,,,,,,,NULL,NULL
22594,JACCURPPGRY-6572.2,2,JACCURPPGRY-6572,,,149.99,99.99,,,,,,,,,NULL,NULL
22595,JACCURPPGRY-6590.2,2,JACCURPPGRY-6590,,,189.99,134.99,,,,,,,,,NULL,NULL
