id,item_number,item_title,barcode_number,category_name,supp_name,supp_id,heights,widths,depths,weights
2044,CURBLKCHKGRN72S,Block Check - Green - Curtain - Pair - 54 x 72 (KT1411B),5.05597E+12,Curtains,SOUTHIND,fdc00182-f9d7-4a3d-a41d-e07faeb6f00d,5,30,36,1600
2045,CURBLKCHKGRN90S,Block Check - Green - Curtain - Pair - 54 x 90 (KT1411C),5.05597E+12,Curtains,SOUTHIND,fdc00182-f9d7-4a3d-a41d-e07faeb6f00d,7,30,38,2000
2046,CURBLKCHKORA54S,Block Check - Orange - Curtain - Pair - 46 x 54 (KT1412A),5.05597E+12,Curtains,SOUTHIND,fdc00182-f9d7-4a3d-a41d-e07faeb6f00d,5,30,34,1300
2047,CURBLKCHKORA72S,Block Check - Orange - Curtain - Pair - 54 x 72 (KT1412B),5.05597E+12,Curtains,SOUTHIND,fdc00182-f9d7-4a3d-a41d-e07faeb6f00d,5,30,36,1600
2048,CURBLKCHKORA90S,Block Check - Orange - Curtain - Pair - 54 x 90 (KT1412C),5.05597E+12,Curtains,SOUTHIND,fdc00182-f9d7-4a3d-a41d-e07faeb6f00d,7,30,38,2000
2049,CURBLKCHKPNK54S,Block Check - Pink - Curtain - Pair - 46 x 54 (KT1410A),5.05597E+12,Curtains,SOUTHIND,fdc00182-f9d7-4a3d-a41d-e07faeb6f00d,5,30,34,1300
2050,CURBLKCHKPNK72S,Block Check - Pink - Curtain - Pair - 54 x 72 (KT1410B),5.05597E+12,Curtains,SOUTHIND,fdc00182-f9d7-4a3d-a41d-e07faeb6f00d,5,30,36,1600
2051,CURBLKCHKPNK90S,Block Check - Pink - Curtain - Pair - 54 x 90 (KT1410C),5.05597E+12,Curtains,SOUTHIND,fdc00182-f9d7-4a3d-a41d-e07faeb6f00d,7,30,38,2000
2052,CURBLKWATCH54,Black Watch - Curtain - Pair - 46 x 54 (KT1517A),5.05597E+12,Curtains,SOUTHIND,fdc00182-f9d7-4a3d-a41d-e07faeb6f00d,5,30,34,1300
2053,CURBLKWATCH72,Black Watch - Curtain - Pair - 54 x 72 (KT1517B),5.05597E+12,Curtains,SOUTHIND,fdc00182-f9d7-4a3d-a41d-e07faeb6f00d,5,30,36,1600
2054,CURBLKWATCH90,Black Watch - Curtain - Pair - 54 x 90 (KT1517C),5.05597E+12,Curtains,SOUTHIND,fdc00182-f9d7-4a3d-a41d-e07faeb6f00d,7,30,38,2000
2055,CURCUPCAKES137,Cup Cakes - Curtain - Pair - 117 x 137 cm (KT1393A),5.05597E+12,Curtains,SOUTHIND,fdc00182-f9d7-4a3d-a41d-e07faeb6f00d,5,30,34,1300
