"id","web_sku","linnworks_code","web_price_uk","web_sale_price_uk","web_price_fr","web_sale_price_fr","web_price_de","web_sale_price_de","web_price_dm","web_sale_price_dm","web_price_tesco","web_sale_price_tesco"
"9019","SF1934A","H-BLA04601","29.99","29.99","39.99","39.99","39.99","39.99","34.90","34.90",,"34.90"
"9020","SF1934B","H-BLA04602","39.99","39.99","52.99","52.99","52.99","52.99","44.90","44.90",,"44.90"
"9021","BL1378A","H-DVT36702CH","48.99","48.99","64.99","64.99","64.99","64.99","53.90","53.90",,"53.90"
"9022","BL1379A","H-DVT36702WH","48.99","48.99","64.99","64.99","64.99","64.99","53.90","53.90",,"53.90"
"9023","BL1378B","H-DVT36703CH","54.99","54.99","72.99","72.99","72.99","72.99","59.90","59.90",,"59.90"
"9024","BL1379B","H-DVT36703WH","54.99","54.99","72.99","72.99","72.99","72.99","59.90","59.90",,"59.90"
"9025","BL1378C","H-DVT36704CH","59.95","59.95","79.99","79.99","79.99","79.99","64.86","64.86",,"64.86"
"9026","BL1379C","H-DVT36704WH","59.95","59.95","79.99","79.99","79.99","79.99","64.86","64.86",,"64.86"
"9027","BL1380A","H-DVT36802CH","48.99","48.99","64.99","64.99","64.99","64.99","53.90","53.90",,"53.90"
"9028","BL1381A","H-DVT36802WH","48.99","48.99","64.99","64.99","64.99","64.99","53.90","53.90",,"53.90"
"9029","BL1380B","H-DVT36803CH","54.99","54.99","72.99","72.99","72.99","72.99","59.90","59.90",,"59.90"
"9030","BL1381B","H-DVT36803WH","54.99","54.99","72.99","72.99","72.99","72.99","59.90","59.90",,"59.90"
"9031","BL1380C","H-DVT36804CH","59.95","59.95","79.99","79.99","79.99","79.99","64.86","64.86",,"64.86"
"9032","BL1381C","H-DVT36804WH","59.95","59.95","79.99","79.99","79.99","79.99","64.98","64.98",,"64.98"
"9033","BL1383A","H-DVT39001BLU","25.99","25.99","34.99","34.99","34.99","34.99","30.90","30.90",,"30.90"
"9034","BL1383B","H-DVT39002BLU","34.99","34.99","45.99","45.99","45.99","45.99","39.90","39.90",,"39.90"
"9035","BL1383C","H-DVT39003BLU","36.99","36.99","48.99","48.99","48.99","48.99","41.90","41.90",,"41.90"
"9036","BL1383D","H-DVT39004BLU","44.99","44.99","58.99","58.99","58.99","58.99","49.90","49.90",,"49.90"
"9037","BL1385A","H-DVT39001PIN","25.99","25.99","34.99","34.99","34.99","34.99","30.90","30.90",,"30.90"
"9038","BL1385B","H-DVT39002PIN","34.99","34.99","45.99","45.99","45.99","45.99","39.90","39.90",,"39.90"
"9039","BL1385C","H-DVT39003PIN","36.99","36.99","48.99","48.99","48.99","48.99","41.90","41.90",,"41.90"
"9040","BL1385D","H-DVT39004PIN","44.99","44.99","58.99","58.99","58.99","58.99","49.90","49.90",,"49.90"
"9041","BL1384A","H-DVT39001GRY","25.99","25.99","34.99","34.99","34.99","34.99","30.90","30.90",,"30.90"
"9042","BL1384B","H-DVT39002GRY","34.99","34.99","45.99","45.99","45.99","45.99","39.90","39.90",,"39.90"
"9043","BL1384C","H-DVT39003GRY","36.99","36.99","48.99","48.99","48.99","48.99","41.90","41.90",,"41.90"
"9044","BL1384D","H-DVT39004GRY","44.99","44.99","58.99","58.99","58.99","58.99","49.90","49.90",,"49.90"
"9045","BL1386A","H-DVT39101","28.99","28.99","38.99","38.99","38.99","38.99","33.90","33.90",,"33.90"
"9046","BL1386B","H-DVT39102","46.99","46.99","61.99","61.99","61.99","61.99","51.90","51.90",,"51.90"
"9047","BL1386C","H-DVT39103","49.99","49.99","65.99","65.99","65.99","65.99","54.90","54.90",,"54.90"
"9048","BL1386D","H-DVT39104","54.99","54.99","72.99","72.99","72.99","72.99","59.90","59.90",,"59.90"
"9049","BL1387A","H-DVT39101BLU","28.99","28.99","38.99","38.99","38.99","38.99","33.90","33.90",,"33.90"
"9050","BL1387B","H-DVT39102BLU","46.99","46.99","61.99","61.99","61.99","61.99","51.90","51.90",,"51.90"
"9051","BL1387C","H-DVT39103BLU","49.99","49.99","65.99","65.99","65.99","65.99","54.90","54.90",,"54.90"
"9052","BL1387D","H-DVT39104BLU","54.99","54.99","72.99","72.99","72.99","72.99","59.90","59.90",,"59.90"
"9053","BL1388A","H-DVT39602CH","35.99","35.99","46.99","46.99","46.99","46.99","40.90","40.90",,"40.90"
"9054","BL1388B","H-DVT39603CH","44.99","44.99","48.99","48.99","48.99","48.99","49.90","49.90",,"49.90"
"9055","BL1388C","H-DVT39604CH","48.99","48.99","64.99","64.99","64.99","64.99","53.90","53.90",,"53.90"
